Sample ID,Taxon,Name,Island Name,Catalogue,Collector/Original Number,Sex,Age,Type,Date,Year,Sample Location,d13Cap,d18O,d13Ccol,d15N,d13Ckeratin,d15Nkeratin,d13Cskin,d15Nskin,dD bone,%H bone,dD keratin,%H keratin,dD skin,%H skin,%N bone,%C bone,C:N bone,%N keratin,%C keratin,C:N keratin,%N skin,%C skin,C:N skin
1,C. niger ssp.,-,Unk-Gold Rush,CA-SFR-186H/TC-529,,,,Wild,1850s,1850,Humerus,-6,5.7,-15.9,8.7,,,,,-53.9,5.2,,,,,15.2,41.6,2.7,,,,,,
2,C.n. vicina,Geochelone wallacei,Rabida,CAS 8134,R.H. Beck/2409,,Adult,Wild,20-Dec-05,1905,Scapula,-2.05,-3.71,-13.1,11.3,,,,,-35.9,5.6,,,,,16.7,45.9,2.7,,,,,,
3,C.n. hoodensis,Geochelone hoodensis,Espanola,CAS 8138,R.H. Beck,,,Wild,27-Jun-06,taq 1906,Humerus,,,-15.6,19.7,,,,,-40.4,5,,,,,15.4,43.2,2.8,,,,,,
4,C.n. microphyes,Geochelone microphyes,Isabela,CAS-SUR 4800,E. Heller and R.E. Snodgrass,Male,Adult,Wild,taq 1898,taq 1898,Plastron,-11.27,-6.79,-21.1,14.7,,,,,-38.6,5.5,,,,,16,46.6,2.9,,,,,,
5,C.n. hoodensis,Geochelone hoodensis,Espanola,CAS 8136,R.H. Beck,,,Wild,3-Feb-06,1906,Plastron,,,-15.8,13.1,,,,,-39.1,2.8,,,,,13.1,37.9,2.9,,,,,,
6,C.n. hoodensis,Geochelone hoodensis,Espanola,CAS 8137,R.H. Beck,,,Wild,taq 1906,taq 1906,Unidentified long bone,,,-13.5,18.4,,,,,-40.5,5.4,,,,,12.1,33.5,2.8,,,,,,
7,C.n. hoodensis,Geochelone hoodensis,Espanola,CAS 8121 (Holotype),E.S. King,Male,Adult,Wild,27-Jun-06,1906,Scapula,,,-14.2,17.2,,,,,-29.9,5.7,,,,,16.7,46,2.8,,,,,,
8,C.n. hoodensis,Geochelone hoodensis,Espanola,CAS 8122 (Paratype),W.H. Ochsner,Female,Adult,Wild,26-Jun-06,1906,Scapula,,,-18.9,13.3,,,,,-37.3,5.4,,,,,16.7,45.8,2.7,,,,,,
9,C.n. porteri,Geochelone porteri,Santa Cruz,CAS 8276,R.H. Beck,Female,Adult,Wild,1897-1905,1897-1905,Scapula,,,-17,12.8,,,,,-37.8,5.6,,,,,16.9,45.8,2.7,,,,,,
10,C.n. porteri,Geochelone porteri,Santa Cruz,CAS 8274,"R.H. Beck, J.R. Slevin and F.X. Williams/1783",Female,Adult,Wild,1897-1905,1897-1905,Scapula,,,-17.6,12.3,,,,,-41.2,5.6,,,,,16.5,45,2.7,,,,,,
11,C.n. porteri,Geochelone porteri,Santa Cruz,CAS 8275,"R.H. Beck, J.R. Slevin and F.X. Williams/1861",Male,Adult,Wild,26-Oct-05,1905,Scapula,-4.6,-2.1,-14.4,8.7,-16.1,11.9,-16.4,11.9,-40.4,5.8,-44.9,5.5,-53.3,5.2,17,46.1,2.7,13.9,49.2,3.5,12.4,43.2,3.5
12,C.n. porteri,Geochelone porteri,Santa Cruz,CAS 8382,J.R. Slevin and R.H. Beck,Female,,Wild,1897-1905,1897-1905,Scapula,,,-14.2,12.6,,,,,-37.9,5.5,,,,,16.2,44.3,2.7,,,,,,
13,C.n. chathamensis,Geochelone chathamensis,San Cristobal,CAS 8129,J.R. Slevin and R.H. Beck,,Adult,Wild,taq 1906,410±20*,Humerus,,,-15.3,9.8,,,,,-32.9,5.4,,,,,16.9,45.8,2.7,,,,,,
14,C.n. chathamensis,Geochelone chathamensis,San Cristobal,CAS 8133 (Paratype),R.H. Beck/2618,Female,Adult,Wild,10-Feb-06,1906,Scapula,,,-18.6,11.3,,,,,-44.6,5.4,,,,,16.5,45.4,2.8,,,,,,
15,C.n. abingdonii,Geochelone abingdoni,Pinta,CAS 8113,R.H. Beck,,Adult,Wild,taq 1906,taq 1906,Scapula,-5.13,-2.23,-17.4,10.2,,,,,-38.5,5.4,,,,,16.7,45.4,2.7,,,,,,
16,C.n. chathamensis,Geochelone chathamensis,San Cristobal,CAS 8127 (Holotype),J.R. Slevin and R.H. Beck,Male,Adult,Wild,taq 1906,taq 1906*,Scapula,,,-16.1,9,,,,,-33.1,5.6,,,,,16.5,44.7,2.7,,,,,,
17,C.n. chathamensis,Geochelone chathamensis,San Cristobal,CAS 8128,J.R. Slevin and R.H. Beck,,Adult,Wild,taq 1906,taq 1906*,Scapula,,,-18.4,8.5,,,,,-36.9,5.5,,,,,16.6,45.2,2.7,,,,,,
18,C.n. abingdonii,Geochelone abingdoni,Pinta,CAS 8112,R.H. Beck/4294,Male,Adult,Wild,21-Sep-06,1906,Scapula,-4.59,-2.26,-15.8,9.6,,,,,-26,5.7,,,,,16.6,46,2.8,,,,,,
19,C.n. hoodensis,Geochelone hoodensis,Espanola,CAS 8126,R.H. Beck,,,Wild,taq 1905,taq 1905,Unidentified long bone,,,-17.4,14.1,,,,,-35.6,4.7,,,,,12.2,39.4,3.2,,,,,,
20,C.n. vicina,Geochelone wallacei,Rabida,CAS 8135,R.H. Beck,,Adult,Wild,21-Dec-05,1905,Nucal carapace,-3.12,-7.42,-14.1,12.9,,,,,-32.5,5.3,,,,,13.7,42,3.1,,,,,,
21,C.n. duncanensis,Geochelone ephippium,Pinzon,CAS 8376,,Female,Adult,Wild,1-Dec-05,1905,Scapula,-7.4,7.6,-18.1,10.2,-18.4,12.2,-18.1,10.6,-46,5.4,-60.3,5.6,-33.7,5.1,16.9,45.8,2.7,14.3,49.6,3.5,13.8,43.7,3.2
22,C.n. duncanensis,Geochelone ephippium,Pinzon,CAS 8342,R.H. Beck/2159,Female,Adult,Wild,"December 1-17, 1905",1905,Scapula,,,-19.1,11.3,,,,,-37.1,5.5,,,,,16.7,45.5,2.7,,,,,,
23,C.n. duncanensis,Geochelone ephippium,Pinzon,CAS 8343,R.H. Beck/2160,Male,Adult,Wild,"December 1-17, 1905",1905,Scapula,,,-22,10.6,,,,,-38.7,5.7,,,,,16.5,45.7,2.8,,,,,,
24,C.n. guentheri,Geochelone guentheri,Isabela,CAS 8265,J.R. Slevin,Female,Adult,Wild,"August 1-September 4, 1906",1906,Scapula,-6.05,-2.95,-18.1,7,-13.4,8.6,,,-40.6,5.4,-53.2,5.3,,,16.9,46.5,2.8,14.8,51.2,3.5,,,
25,C.n. guentheri,Geochelone guentheri,Isabela,CAS 8259,J.R. Slevin/4500,Female,Adult,Wild,1-Oct-06,1906,Scapula,-4.66,-4.15,-15.2,8.7,,,,,-36.9,5.5,,,,,16,45.1,2.8,,,,,,
26,C.n. guentheri,Geochelone guentheri,Isabela,CAS 8251,J.R. Slevin/4492,Female,Adult,Wild,1-Oct-06,1906,Scapula,-4.73,-4.95,-14.2,5.4,,,,,-37.9,5.4,,,,,16.3,45.6,2.8,,,,,,
27,C.n. guentheri,Geochelone guentheri,Isabela,CAS 8225,J.R. Slevin/4463,Female,Adult,Wild,1-Oct-06,1906,Scapula,-3.74,-1.14,-13.1,6.6,,,,,-41.6,5.4,,,,,16.3,46.4,2.8,,,,,,
28,C.n. darwini,Geochelone darwini,Santiago,CAS 8102,R.H. Beck,,,Wild,28-Dec-05,1905,Femur,,,-21.4,10.7,,,,,-38.5,5.1,,,,,13.1,45.8,3.5,,,,,,
29,C.n. darwini,Geochelone darwini,Santiago,CAS 8103,R.H. Beck,,,Wild,27-Dec-05,1905,Humerus,,,-21.5,9.2,,,,,-50,5.1,,,,,13,44.4,3.4,,,,,,
30,C.n. darwini,Geochelone darwini,Santiago,CAS 8104,R.H. Beck,,Adult,Wild,4-Aug-06,1906,Scapula,,,-11.4,7.7,,,,,-39.1,5.4,,,,,16.2,45.8,2.8,,,,,,
31,C.n. darwini,Geochelone darwini,Santiago,CAS 8106,R.H. Beck/3976,Female,Adult,Wild,3-Aug-06,1906,Scapula,,,-13.9,11.9,,,,,-28.8,5.4,,,,,16.3,45.9,2.8,,,,,,
32,C.n. niger,Geochelone nigra nigra,Floreana,AMNH-R46422,,,,Wild,170±30,170±30,,-3,6,-13.6,10.6,,,,,-34,5.4,,,,,16.5,45.7,2.8,,,,,,
33,C.n. niger,Geochelone nigra nigra,Floreana,AMNH-R46424,,,,Wild,880±30,880±30,,-3.7,-3.7,-15.7,13.3,,,,,-25.6,4.9,,,,,13.5,41.1,3,,,,,,
34,C.n. duncanensis,Geochelone nigra ephippium,Pinzon,AMNH-R87330,,,,Captive,1928-1961,1961,,-11.8,-5.6,-22,11.4,,,,,-62.1,5.3,,,,,15.7,46.3,2.9,,,,,,
35,C. niger ssp.,Geochelone nigra?,Isabela,AMNH-R93382,,Male,,Captive,1928-1964,1964,,-12.4,-10.1,-22.3,11.9,,,,,-58.1,5.5,,,,,16.5,45.9,2.8,,,,,,
36,C.n. becki,Geochelone nigra becki,Isabela,AMNH-R110443,,,,Captive,1-Oct-67,1967,,-12.3,-2.4,-23.1,9.8,,,,,-59.4,5.4,,,,,16.1,46.3,2.9,,,,,,
37,C.n. duncanensis,Geochelone elephantopus ephippium,Pinzon,USNM 15192,Explorations of the West Coast of the Americas under Alexander Agassiz/1633,,,Wild,April 1888,1888,Plastron sample,-7.81,-6.81,-16.8,10.3,-18.8,9.9,,,-49,5.3,-60.6,5.9,,,15.8,46.2,2.9,15.4,50.6,3.3,,,
38,C.n. duncanensis,Geochelone elephantopus ephippium,Pinzon,USNM 15193,Explorations of the West Coast of the Americas under Alexander Agassiz/1633,,,Wild,April 1888,1888,Plastron sample,-8.67,-5.49,-18.8,9.6,-24.1,7.5,,,-51.4,5.6,-67.8,5.4,,,16,46.2,2.9,15.1,50.8,3.4,,,
39,C.n. vicina,Geochelone elephantopus vicina,Isabela,USNM 65896,,,,Captive,taq 1923,tpq 1923,Carapace edge sample,-8.12,-4.77,-19.6,9.7,,,,,-49,5.3,,,,,16.5,45.7,2.8,,,,,,
40,C.n. niger,Geochelone elephantopus,Floreana,USNM 84294,"C.H. Townsend/""Extinct for nearly a century. Identification by Thomas H. Fritts, 7 September 1981. From a cave.""
",,,Wild,240±30,240±30,Carapace fragment sample,-5.86,3.38,-16.8,8.5,,,,,-48.4,5.5,,,,,15.5,42.4,2.7,,,,,,
41,C.n. abingdonii,Geochelone elephantopus abingdoni,Pinta,USNM 222479,"U.S.S. ""Albatross"" Expedition
",,,Wild,1888,1888,Carapace? Fragments,-3.48,-2.29,-14.3,12.6,,,,,-34.1,4.5,,,,,16.9,45.8,2.7,,,,,,
42,C.n. duncanensis,Geochelone elephantopus ephippium,Pinzon,USNM 222494,,,,Wild,1928,taq 1928,Carapace (loose) sample,,,-21.3,13,,,,,-73.3,5.4,,,,,16.9,45.6,2.7,,,,,,
43,C.n. porteri,Geochelone elephantopus nigrita,Santa Cruz,USNM 222501,,,,Wild,1929-1934?,1929-1934?,Carapace edge sample,,,-21.7,11.9,,,,,-55.1,5.6,,,,,16.9,46.5,2.7,,,,,,
44,C.n. abingdonii,Chelonoidis nigra abingdonii,Pinta,BMNH 1947.3.4.95 (type),W. Cookson/Number 36,Female,,Wild,1875,1875,Cranial core sample,,,-14,11.9,,,,,-42.3,5.5,,,,,16.8,45.2,2.7,,,,,,
45,C.n. abingdonii,Chelonoidis nigra abingdonii,Pinta,BMNH 1947.3.4.39 (syntype),Number 35,Male,,Wild,1875,1875,Dentary core sample,,,-14.8,11.5,,,,,-51.1,5.4,,,,,16.8,45.9,2.7,,,,,,
46,C.n. chathamensis,Chelonoidis nigra chathamensis,San Cristobal,BMNH 1949.1.4.44,Number 43,Male,,Wild,1884,1884,Phalanx core sample,,,-20.5,10.9,,,,,-35.7,5.5,,,,,16.9,45.4,2.7,,,,,,
47,C.n. duncanensis,Chelonoidis nigra ephippium,Pinzon,BMNH 1974.2454,"Tring Museum Collection/Number 3,Number 48",,,Wild,1891-1906,1891-1906,Leg core sample,,,-16.1,13.5,,,,,-52.9,5.5,,,,,14,45.5,3.3,,,,,,
48,C.n. duncanensis,Chelonoidis nigra ephippium,Pinzon,BMNH 1900.3.27.1,Ernst Hartert/Number 27,,,Wild,1891-1906,1891-1906,Phalanx core sample,,,-18.9,15.8,-20.1,16.9,,,-44.2,5.3,-53.9,5.4,,,17.1,46.1,2.7,15.5,49.7,3.2,,,
49,C.n. duncanensis,Chelonoidis nigra ephippium,Pinzon,BMNH 1949.1.3.72,Harris/Number 24,Male,,Wild,,1897,Phalanx core sample,,,-19.9,15.7,-21.1,12.8,,,-52.8,5.6,-70,5.6,,,16.2,47,2.9,15.1,49.2,3.3,,,
50,C.n. duncanensis,Chelonoidis nigra ephippium,Pinzon,BMNH 1900.3.27.2,Ernst Hartert/Number 26?,Female,,Wild,1891-1906,1891-1906,Phalanx left back foot bone slice (from skeleton),,,-18.6,10.9,,,,,-47.1,5.6,,,,,17,46.7,2.7,,,,,,
51,C.n. duncanensis,Chelonoidis nigra ephippium,Pinzon,BMNH 1974.4.2453,Number 47,,,Wild,1891-1906,1891-1906,Leg core sample,,,-17.5,13.6,,,,,-50.1,5.3,,,,,15.1,46,3,,,,,,
52,C.n. niger,Chelonoidis nigra nigra,Floreana,BMNH 1949.1.3.90,Tring Number 40/Number 41,Male,,Wild,1833,1833,Cranial core sample,-12.45,-5.54,-22.9,10.3,,,,,-62.4,5.5,,,,,16.5,46,2.8,,,,,,
53,C.n. duncanensis,Chelonoidis nigra porteri,Pinzon,BMNH 1974.2468,Number 5/Number 50,,,Wild,1901-1906,1901-1906,Leg bone core sample,,,-14.1,12.3,,,,,-48.6,5.6,,,,,16.1,45.5,2.8,,,,,,
54,C.n. porteri,Chelonoidis nigra porteri,Santa Cruz,BMNH 1949.1.3.94,Tring No. 29/Number 42,Female,Juvenile,Captive,1902,1902,Phalanx slice plus core sample,,,-19,11.1,-19.7,11.1,,,-55.9,5.3,-69.3,5.4,,,16.6,45.9,2.8,15.5,50,3.2,,,
55,C.n. porteri,Chelonoidis nigra porteri,Santa Cruz,BMNH 1870.12.18.1,Number 12,,Juvenile,Captive,1902,1902,Phalanx left back foot,,,-16.7,11.8,,,,,-50.9,5.4,,,,,15.9,51.6,3.3,,,,,,
56,C.n. porteri,Chelonoidis nigra porteri,Santa Cruz,BMNH 1876.10.23.2,Number 16,,Juvenile,Wild,1833,1833,Phalanx right front foot,,,-18.8,10.7,,,,,-66.1,5.4,,,,,15.8,45.8,2.9,,,,,,
57,C.n. porteri,Chelonoidis nigra porteri,Santa Cruz,BMNH 1974.2463,No. 10/Number 49,,,Wild,1891-1906,1891-1906,Core samples x3,,,-16.5,7,,,,,-66.2,5.4,,,,,15.6,45.5,2.9,,,,,,
